Dataset,Repetition,True Aln FP,True Aln FN,Est Aln FP,Est Aln FN,PASTA FN,PASTA FP
1000M1,R0,86,85,93,92,97,96
1000M1,R1,109,103,140,134,141,135
1000M1,R2,102,98,149,145,166,162
1000M1,R3,95,91,117,113,116,112
1000M1,R4,141,135,345,339,365,359
1000M1,R5,91,87,104,100,100,96
1000M1,R6,100,96,137,133,135,131
1000M1,R7,122,117,129,124,127,122
1000M1,R8,117,112,176,171,183,178
1000M1,R9,115,112,190,187,203,200
1000M4,R0,85,58,88,61,89,62
1000M4,R1,57,36,58,37,59,38
1000M4,R2,75,41,79,45,78,44
1000M4,R3,83,49,82,48,82,48
1000M4,R4,69,40,70,41,68,39
1000M4,R5,71,50,72,51,72,51
1000M4,R6,73,55,69,51,72,54
1000M4,R7,85,65,84,64,85,65
1000M4,R8,62,47,62,47,63,48
1000M4,R9,71,43,68,40,71,43
